value_function,eta,n_interactions,n_instances,median_mse,mse_ratio_vs_interaction_free
vit16,base,,30,2.9858575e-06,1.0
vit16,50,200,30,5.2363215e-07,0.17537077707157825
vit16,10,1000,30,4.1316875e-07,0.1383752406134586
vit16,5,2000,30,3.2649495e-07,0.10934713059816151
vit16,2,5000,30,5.3633045e-05,17.962359221764604
