value_function,estimator,budget,n_instances,median_mse
realestate,RegressionMSR,841,10,4.781954e-06
realestate,RegressionMSR,1857,10,1.405553e-07
realestate,RegressionMSR,4100,10,2.227670e-08
realestate,RegressionMSR,9056,10,1.969132e-09
realestate,RegressionMSR,20000,10,1.125845e-10
realestate,OddSHAP,172,10,1.963976e-04
realestate,OddSHAP,381,10,1.875221e-05
realestate,OddSHAP,841,10,3.783574e-06
realestate,OddSHAP,1857,10,1.633854e-07
realestate,OddSHAP,4100,10,6.463198e-11
realestate,OddSHAP,9056,10,2.406249e-14
realestate,OddSHAP,20000,10,2.400653e-14
corrgroups60,MSR,61,10,8.488301e-01
corrgroups60,MSR,116,10,4.896124e-01
corrgroups60,MSR,221,10,2.941281e-01
corrgroups60,MSR,421,10,1.374982e-01
corrgroups60,MSR,801,10,4.904827e-02
corrgroups60,MSR,1524,10,2.076188e-02
corrgroups60,MSR,2900,10,1.158183e-02
corrgroups60,MSR,5521,10,5.436529e-03
corrgroups60,MSR,10508,10,3.532159e-03
corrgroups60,MSR,20000,10,1.691469e-03
corrgroups60,SVARM,61,10,1.791527e-01
corrgroups60,SVARM,116,10,3.065951e-01
corrgroups60,SVARM,221,10,2.993341e-01
corrgroups60,SVARM,421,10,1.351462e-01
corrgroups60,SVARM,801,10,3.644770e-02
corrgroups60,SVARM,1524,10,1.034844e-02
corrgroups60,SVARM,2900,10,3.817786e-03
corrgroups60,SVARM,5521,10,1.583622e-03
corrgroups60,SVARM,10508,10,1.059000e-03
corrgroups60,SVARM,20000,10,5.311690e-04
corrgroups60,PermSamp,61,10,1.021131e-02
corrgroups60,PermSamp,116,10,1.021131e-02
corrgroups60,PermSamp,221,10,3.460783e-03
corrgroups60,PermSamp,421,10,1.425463e-03
corrgroups60,PermSamp,801,10,7.629546e-04
corrgroups60,PermSamp,1524,10,2.772303e-04
corrgroups60,PermSamp,2900,10,1.563679e-04
corrgroups60,PermSamp,5521,10,1.098060e-04
corrgroups60,PermSamp,10508,10,5.383186e-05
corrgroups60,PermSamp,20000,10,3.958741e-05
corrgroups60,KernelSHAP,61,10,9.438083e+00
corrgroups60,KernelSHAP,116,10,1.740337e-02
corrgroups60,KernelSHAP,221,10,6.859918e-03
corrgroups60,KernelSHAP,421,10,3.125499e-03
corrgroups60,KernelSHAP,801,10,1.251045e-03
corrgroups60,KernelSHAP,1524,10,5.757495e-04
corrgroups60,KernelSHAP,2900,10,2.733361e-04
corrgroups60,KernelSHAP,5521,10,1.344919e-04
corrgroups60,KernelSHAP,10508,10,7.665209e-05
corrgroups60,KernelSHAP,20000,10,4.135304e-05
corrgroups60,kADDSHAP,61,10,9.379160e-02
corrgroups60,kADDSHAP,116,10,2.234052e+30
corrgroups60,kADDSHAP,221,10,7.433279e-04
corrgroups60,kADDSHAP,421,10,7.425161e-04
corrgroups60,kADDSHAP,801,10,7.418232e-04
corrgroups60,kADDSHAP,1524,10,7.467338e-04
corrgroups60,kADDSHAP,2900,10,1.876476e-04
corrgroups60,kADDSHAP,5521,10,3.697121e-05
corrgroups60,kADDSHAP,10508,10,1.205155e-05
corrgroups60,kADDSHAP,20000,10,4.459321e-06
corrgroups60,RegressionMSR,61,10,1.271841e-01
corrgroups60,RegressionMSR,116,10,7.573488e-02
corrgroups60,RegressionMSR,221,10,3.933896e-02
corrgroups60,RegressionMSR,421,10,2.654393e-02
corrgroups60,RegressionMSR,801,10,1.811657e-02
corrgroups60,RegressionMSR,1524,10,9.309720e-03
corrgroups60,RegressionMSR,2900,10,3.849281e-03
corrgroups60,RegressionMSR,5521,10,1.371721e-03
corrgroups60,RegressionMSR,10508,10,5.352196e-04
corrgroups60,RegressionMSR,20000,10,1.997998e-04
corrgroups60,OddSHAP,801,10,1.177493e-04
corrgroups60,OddSHAP,1524,10,5.065865e-05
corrgroups60,OddSHAP,2900,10,2.198759e-05
corrgroups60,OddSHAP,5521,10,1.106821e-05
corrgroups60,OddSHAP,10508,10,3.976150e-06
corrgroups60,OddSHAP,20000,10,1.274109e-06
independentlinear60,MSR,61,10,1.442381e+00
independentlinear60,MSR,116,10,6.901811e-01
independentlinear60,MSR,221,10,4.406683e-01
independentlinear60,MSR,421,10,2.272647e-01
independentlinear60,MSR,801,10,7.111821e-02
independentlinear60,MSR,1524,10,2.933246e-02
independentlinear60,MSR,2900,10,2.363531e-02
independentlinear60,MSR,5521,10,1.102434e-02
independentlinear60,MSR,10508,10,5.315510e-03
independentlinear60,MSR,20000,10,2.406402e-03
independentlinear60,SVARM,61,10,4.583502e-01
independentlinear60,SVARM,116,10,5.892299e-01
independentlinear60,SVARM,221,10,5.230243e-01
independentlinear60,SVARM,421,10,2.066582e-01
independentlinear60,SVARM,801,10,5.323161e-02
independentlinear60,SVARM,1524,10,2.105668e-02
independentlinear60,SVARM,2900,10,7.461011e-03
independentlinear60,SVARM,5521,10,4.019971e-03
independentlinear60,SVARM,10508,10,2.104008e-03
independentlinear60,SVARM,20000,10,1.025691e-03
independentlinear60,PermSamp,61,10,1.510544e-02
independentlinear60,PermSamp,116,10,1.510544e-02
independentlinear60,PermSamp,221,10,5.684293e-03
independentlinear60,PermSamp,421,10,1.894483e-03
independentlinear60,PermSamp,801,10,8.450260e-04
independentlinear60,PermSamp,1524,10,4.073252e-04
independentlinear60,PermSamp,2900,10,2.995159e-04
independentlinear60,PermSamp,5521,10,1.351030e-04
independentlinear60,PermSamp,10508,10,1.107874e-04
independentlinear60,PermSamp,20000,10,4.681078e-05
independentlinear60,KernelSHAP,61,10,2.153602e+00
independentlinear60,KernelSHAP,116,10,2.394587e-02
independentlinear60,KernelSHAP,221,10,9.547906e-03
independentlinear60,KernelSHAP,421,10,4.113894e-03
independentlinear60,KernelSHAP,801,10,1.958379e-03
independentlinear60,KernelSHAP,1524,10,7.260437e-04
independentlinear60,KernelSHAP,2900,10,4.222420e-04
independentlinear60,KernelSHAP,5521,10,2.031082e-04
independentlinear60,KernelSHAP,10508,10,1.083223e-04
independentlinear60,KernelSHAP,20000,10,5.395527e-05
independentlinear60,kADDSHAP,61,10,2.361847e-01
independentlinear60,kADDSHAP,116,10,1.886353e+31
independentlinear60,kADDSHAP,221,10,1.040244e-03
independentlinear60,kADDSHAP,421,10,1.040381e-03
independentlinear60,kADDSHAP,801,10,1.049763e-03
independentlinear60,kADDSHAP,1524,10,1.046824e-03
independentlinear60,kADDSHAP,2900,10,2.865875e-04
independentlinear60,kADDSHAP,5521,10,5.911739e-05
independentlinear60,kADDSHAP,10508,10,1.581390e-05
independentlinear60,kADDSHAP,20000,10,5.941188e-06
independentlinear60,RegressionMSR,61,10,1.993481e-01
independentlinear60,RegressionMSR,116,10,4.817077e-02
independentlinear60,RegressionMSR,221,10,2.692619e-02
independentlinear60,RegressionMSR,421,10,1.362051e-02
independentlinear60,RegressionMSR,801,10,7.527558e-03
independentlinear60,RegressionMSR,1524,10,2.395832e-03
independentlinear60,RegressionMSR,2900,10,5.740728e-04
independentlinear60,RegressionMSR,5521,10,1.786841e-04
independentlinear60,RegressionMSR,10508,10,5.161999e-05
independentlinear60,RegressionMSR,20000,10,1.893669e-05
independentlinear60,OddSHAP,801,10,6.934765e-05
independentlinear60,OddSHAP,1524,10,2.272244e-05
independentlinear60,OddSHAP,2900,10,8.438674e-06
independentlinear60,OddSHAP,5521,10,2.948772e-06
independentlinear60,OddSHAP,10508,10,1.203247e-06
independentlinear60,OddSHAP,20000,10,4.167456e-07
nhanes,MSR,80,10,2.093749e-01
nhanes,MSR,148,10,1.309028e-01
nhanes,MSR,273,10,6.473787e-02
nhanes,MSR,504,10,3.438666e-02
nhanes,MSR,931,10,1.461905e-02
nhanes,MSR,1719,10,7.613805e-03
nhanes,MSR,3175,10,3.326414e-03
nhanes,MSR,5863,10,1.641340e-03
nhanes,MSR,10829,10,1.327417e-03
nhanes,MSR,20000,10,6.718642e-04
nhanes,SVARM,80,10,7.680566e-02
nhanes,SVARM,148,10,1.213935e-01
nhanes,SVARM,273,10,1.222460e-01
nhanes,SVARM,504,10,6.890990e-02
nhanes,SVARM,931,10,1.856504e-02
nhanes,SVARM,1719,10,3.903216e-03
nhanes,SVARM,3175,10,1.334772e-03
nhanes,SVARM,5863,10,5.004312e-04
nhanes,SVARM,10829,10,2.775572e-04
nhanes,SVARM,20000,10,1.365715e-04
nhanes,PermSamp,80,10,4.299854e-03
nhanes,PermSamp,148,10,4.299854e-03
nhanes,PermSamp,273,10,2.006241e-03
nhanes,PermSamp,504,10,9.749260e-04
nhanes,PermSamp,931,10,3.314155e-04
nhanes,PermSamp,1719,10,1.757993e-04
nhanes,PermSamp,3175,10,1.535850e-04
nhanes,PermSamp,5863,10,8.380028e-05
nhanes,PermSamp,10829,10,6.940957e-05
nhanes,PermSamp,20000,10,1.935658e-05
nhanes,KernelSHAP,80,10,5.294060e-01
nhanes,KernelSHAP,148,10,9.929914e-03
nhanes,KernelSHAP,273,10,3.701266e-03
nhanes,KernelSHAP,504,10,1.819479e-03
nhanes,KernelSHAP,931,10,6.515889e-04
nhanes,KernelSHAP,1719,10,2.949627e-04
nhanes,KernelSHAP,3175,10,1.560185e-04
nhanes,KernelSHAP,5863,10,8.161288e-05
nhanes,KernelSHAP,10829,10,4.877363e-05
nhanes,KernelSHAP,20000,10,2.401658e-05
nhanes,kADDSHAP,80,10,2.250717e-02
nhanes,kADDSHAP,148,10,4.228782e+02
nhanes,kADDSHAP,273,10,4.716250e-04
nhanes,kADDSHAP,504,10,4.711684e-04
nhanes,kADDSHAP,931,10,4.708451e-04
nhanes,kADDSHAP,1719,10,4.715931e-04
nhanes,kADDSHAP,3175,10,4.817730e-04
nhanes,kADDSHAP,5863,10,9.126809e-05
nhanes,kADDSHAP,10829,10,2.072092e-05
nhanes,kADDSHAP,20000,10,6.816431e-06
nhanes,RegressionMSR,80,10,6.135880e-03
nhanes,RegressionMSR,148,10,4.028404e-03
nhanes,RegressionMSR,273,10,2.435660e-03
nhanes,RegressionMSR,504,10,1.334411e-03
nhanes,RegressionMSR,931,10,8.497153e-04
nhanes,RegressionMSR,1719,10,3.794917e-04
nhanes,RegressionMSR,3175,10,1.364155e-04
nhanes,RegressionMSR,5863,10,4.202014e-05
nhanes,RegressionMSR,10829,10,1.274207e-05
nhanes,RegressionMSR,20000,10,4.659908e-06
nhanes,OddSHAP,931,10,6.593006e-05
nhanes,OddSHAP,1719,10,2.377027e-05
nhanes,OddSHAP,3175,10,6.807970e-06
nhanes,OddSHAP,5863,10,2.416820e-06
nhanes,OddSHAP,10829,10,7.741643e-07
nhanes,OddSHAP,20000,10,2.845860e-07
crime,MSR,102,10,1.658105e+00
crime,MSR,183,10,9.477467e-01
crime,MSR,330,10,4.122013e-01
crime,MSR,593,10,2.399268e-01
crime,MSR,1065,10,1.145258e-01
crime,MSR,1915,10,5.240099e-02
crime,MSR,3443,10,3.146392e-02
