value_function,estimator,budget,n_instances,median_mse
crime,RegressionMSR,3443,10,9.324262e+00
crime,RegressionMSR,6189,10,4.145586e+00
crime,RegressionMSR,11125,10,1.867295e+00
crime,RegressionMSR,20000,10,8.302243e-01
crime,OddSHAP,1065,10,3.392016e+00
crime,OddSHAP,1915,10,1.196571e+00
crime,OddSHAP,3443,10,4.630487e-01
crime,OddSHAP,6189,10,2.298709e-01
crime,OddSHAP,11125,10,1.344716e-01
crime,OddSHAP,20000,10,5.927122e-02
