value_function,estimator,config,n_instances,median_mse,q1,q3
vit16,OddSHAP,exact_gt,30,1.218625e-05,5.32887725e-06,1.64780325e-05
vit16,RegressionMSR,exact_gt,30,1.3545535e-05,6.7846930000000005e-06,2.6265177500000002e-05
vit16,kADDSHAP,exact_gt,30,3.908947e-05,1.78192575e-05,5.417734e-05
vit16,SVARM,exact_gt,30,7.400874e-05,4.10247525e-05,0.000115216875
vit16,KernelSHAP,exact_gt,30,8.990406e-05,5.285245e-05,0.00013487725
vit16,PermSamp,exact_gt,30,0.00019778525,0.00010967765,0.0002608883
vit16,MSR,exact_gt,30,0.00060912785,0.000240823,0.000865305725
