budget,v522_mse,v560_mse,n,min_budget_v522
20,,0.11032913220796185,15,150
50,,0.0035551227458486307,15,150
100,,0.003146432392584463,15,150
150,0.0024436343843000597,0.0024436343843001183,15,150
300,9.738785273914597e-05,9.738785273915676e-05,15,150
1000,5.3694774344470035e-08,5.369477434463374e-08,15,150
5000,3.5517684572046976e-14,3.551768427536876e-14,15,150
