vf,variant,budget,eta,n_interactions,n,median_mse,ratio_vs_base,ratio_q1,ratio_q3
distilbert,v522_merged,10000,50,200,30,1.0014002e-06,0.35918382719007397,0.1611028365258387,0.6473633494835702
distilbert,v522_merged,10000,10,1000,30,6.29294e-07,0.22571617955314013,0.11608134611770209,0.3717711661599691
distilbert,v522_merged,10000,5,2000,30,7.517184e-07,0.26962755937256544,0.07583406922841848,0.42815589593642434
distilbert,v522_merged,10000,2,5000,30,0.0005844946000000001,209.64745902780072,17.649660794809733,475.1958222201817
distilbert,v522_merged,10000,base,0,30,2.787988e-06,1.0,1.0,1.0
