vf,estimator,variant,n,budget,median,q1,q3,mean,std
independentlinear60,MSR,v560_improved,30,6000,0.0056636070337074094,0.003942243672536464,0.009619329385819867,0.007416798265194173,0.00543948515256471
independentlinear60,SVARM,v560_improved,30,6000,0.00335206149803777,0.002822849266139361,0.004252604347524874,0.0035999344723869945,0.0010995443470616878
independentlinear60,PermSamp,v560_improved,30,6000,0.00012826413020986346,9.320191186844182e-05,0.000218861613696637,0.0001674634618602596,0.00010506561592939037
independentlinear60,KernelSHAP,v560_improved,30,6000,0.00019242878510040528,0.00012670463389803942,0.0002697680147789791,0.00021578113475151473,0.0001238462332427187
independentlinear60,kADDSHAP,v560_improved,30,6000,3.6276436310796326e-05,2.4063206854679544e-05,4.803138735103767e-05,3.8133604363446904e-05,1.7732456817615686e-05
independentlinear60,RegressionMSR,v560_improved,30,6000,0.00015606998557034213,0.0001277810935045286,0.00017731927758886268,0.0001506590402442915,3.247496136516761e-05
independentlinear60,OddSHAP,v560_improved,30,6000,2.5644128133368508e-06,2.139689836939903e-06,2.9767890407593935e-06,2.587422665466759e-06,5.741718182752395e-07
