vf,estimator,variant,n,budget,median,q1,q3,mean,std
realestate,MSR,v560_improved,30,1500,0.009679590949861474,0.006108671449337231,0.014412809458371022,0.011128191375399272,0.00693968008259483
realestate,SVARM,v560_improved,30,1500,0.005422389591246128,0.004087431881596732,0.0068772714054005065,0.0055326667166202955,0.0019965907060929783
realestate,PermSamp,v560_improved,30,1500,0.0009031859320597383,0.0005913366557958764,0.0019418632696780321,0.0015096635641090271,0.0014376527742807543
realestate,KernelSHAP,v560_improved,30,1500,0.0006995203316398675,0.0004064045716699041,0.00109819275568921,0.0009661724391678689,0.0009931053914217136
realestate,kADDSHAP,v560_improved,30,1500,1.7654467209763483e-05,7.257857224749875e-06,3.5061892357686166e-05,2.4834989152765728e-05,2.1283338832600167e-05
realestate,RegressionMSR,v560_improved,30,1500,2.811292018116501e-07,1.6780821924310538e-07,3.9326713526228694e-07,3.1552019894771116e-07,1.8731836087903715e-07
realestate,OddSHAP,v560_improved,30,1500,5.247642685852295e-09,3.6357637345507496e-09,1.848468383800107e-08,1.3220142907037588e-08,1.4610231750050852e-08
