vf,estimator,variant,n,budget,median,q1,q3,mean,std
crime,MSR,v522_merged,30,10100,0.008542686479333095,0.002124057975306333,0.015532195701793643,0.009000491902400444,0.007507183956023601
crime,SVARM,v522_merged,30,10100,0.0006217258418429231,0.0005249461831152923,0.0007419614855818306,0.0006364116083317786,0.0001727367950352312
crime,PermSamp,v522_merged,30,10100,9.794077024062077e-05,7.626043081780488e-05,0.00015597276237929198,0.00011220428002184015,4.6209836830189885e-05
crime,KernelSHAP,v522_merged,30,10100,0.00013336742791228423,8.407057413311415e-05,0.00020020561339136319,0.00017563568222410736,0.00013742643846461285
crime,kADDSHAP,v522_merged,30,10100,0.00018139604115487658,0.00015331475945417104,0.0002779362190408808,0.00020869413329387563,9.598867536720632e-05
crime,RegressionMSR,v522_merged,30,10100,0.00044820888202875045,0.00039047185764546233,0.0005373466207335224,0.00046921851716629084,0.00011770262829725989
crime,OddSHAP,v522_merged,30,10100,1.241566510150552e-05,9.226807384150428e-06,1.4218411679867017e-05,1.2401054724999145e-05,4.114179889653212e-06
