vf,estimator,variant,n,budget,median,q1,q3,mean,std
distilbert,MSR,v560_improved,30,1400,0.000415203,0.000197374975,0.00167008375,0.0009089566133333333,0.0008310789380273336
distilbert,SVARM,v560_improved,30,1400,0.00016467865,2.39574675e-05,0.00035983485000000003,0.00022366132666666667,0.00024540591529793366
distilbert,PermSamp,v560_improved,30,1400,0.00085891485,0.000421706775,0.001226259,0.0009250793969999998,0.0006443040927614064
distilbert,KernelSHAP,v560_improved,30,1400,0.0001365648,6.860899e-05,0.000409986075,0.00026747800266666667,0.00024042355870505745
distilbert,kADDSHAP,v560_improved,30,1400,6.1990735e-05,3.07082975e-05,9.59868125e-05,8.402735206666666e-05,7.442038050674861e-05
distilbert,RegressionMSR,v560_improved,30,1400,2.8393145e-05,1.54251225e-05,4.170962e-05,4.682623176666666e-05,5.012790287360422e-05
distilbert,OddSHAP,v560_improved,30,1400,4.9531685e-05,2.96808575e-05,0.00010538345,7.670731996666667e-05,8.430604740646842e-05
