vf,variant,budget,eta,n_interactions,n,median_mse,ratio_vs_base,ratio_q1,ratio_q3
vit16,v522_merged,10000,50,200,30,5.2363195e-07,0.1753708862906749,0.10481634319421794,0.35769216149011945
vit16,v522_merged,10000,10,1000,30,4.1316804999999995e-07,0.13837514520550145,0.07263040613666874,0.26270222644807373
vit16,v522_merged,10000,5,2000,30,3.264936e-07,0.10934678833144748,0.06646085735256022,0.23840098370499968
vit16,v522_merged,10000,2,5000,30,5.3632725e-05,17.962270097220074,8.5969384978404,65.38521887118075
vit16,v522_merged,10000,base,0,30,2.9858545e-06,1.0,1.0,1.0
