vf,estimator,variant,n,budget,median,q1,q3,mean,std
vit16,MSR,v522_merged,30,1600,0.00060912845,0.00024082335,0.000865306525,0.0005822519223333333,0.00035298447342330564
vit16,SVARM,v522_merged,30,1600,7.4008665e-05,4.10246725e-05,0.000115216975,7.873958623333333e-05,5.306282483159646e-05
vit16,PermSamp,v522_merged,30,1600,0.0001977854,0.000109677625,0.00026088835,0.000200633745,0.0001272057856210024
vit16,KernelSHAP,v522_merged,30,1600,8.990316e-05,5.285197e-05,0.000134877525,9.725966200000001e-05,5.86800917874772e-05
vit16,kADDSHAP,v522_merged,30,1600,3.9089575e-05,1.781912e-05,5.4177535e-05,4.01812485e-05,2.841195000577628e-05
vit16,RegressionMSR,v522_merged,30,1600,1.3545554999999998e-05,7.0321265e-06,2.626516e-05,1.68031383e-05,1.2694140017067098e-05
vit16,OddSHAP,v522_merged,30,1600,1.1528049999999999e-05,5.3182077500000005e-06,1.71390275e-05,1.3919945333333333e-05,1.1765420928124868e-05
