vf,estimator,variant,budget,n,median,q1,q3
independentlinear60,MSR,v522_merged,61,30,1.017169282490269,0.5927503795324844,1.6838817064318001
independentlinear60,SVARM,v522_merged,61,30,0.30826242719757624,0.23281118571938475,0.4488488110549962
independentlinear60,PermSamp,v522_merged,61,30,0.014299441684625094,0.009982003121540727,0.020342661633211467
independentlinear60,KernelSHAP,v522_merged,61,30,3.2097257530248675,1.319900734912077,7.431220739279027
independentlinear60,kADDSHAP,v522_merged,61,30,0.2004027341418437,0.15420477251965994,0.2569159008848706
independentlinear60,RegressionMSR,v522_merged,61,30,0.16901699159080086,0.09865567204835893,0.21753363755900817
independentlinear60,MSR,v522_merged,116,30,0.4571811957800077,0.2545711342307413,0.8640889281000701
independentlinear60,SVARM,v522_merged,116,30,0.3254661881444678,0.21824178165736427,0.6066950345361832
independentlinear60,PermSamp,v522_merged,116,30,0.014299441684625094,0.009982003121540727,0.020342661633211467
independentlinear60,KernelSHAP,v522_merged,116,30,0.024036385419295765,0.019269637393658196,0.0350205301825718
independentlinear60,kADDSHAP,v522_merged,116,30,1.0286828676287504e+31,2.4554942069586144e+29,1.0500025642720779e+32
independentlinear60,RegressionMSR,v522_merged,116,30,0.04722940172831169,0.038300532820106,0.06495385429771564
independentlinear60,MSR,v522_merged,221,30,0.31341554462492804,0.18614218287878748,0.5582416930646594
independentlinear60,SVARM,v522_merged,221,30,0.2413761025174843,0.16022555078311956,0.5285919496713265
independentlinear60,PermSamp,v522_merged,221,30,0.005478347882077435,0.004381943361101906,0.007239050441505034
independentlinear60,KernelSHAP,v522_merged,221,30,0.009163583653436506,0.007036856293542178,0.014558119009029816
independentlinear60,kADDSHAP,v522_merged,221,30,0.0008731232835457486,0.000640177654761326,0.0011654238312259326
independentlinear60,RegressionMSR,v522_merged,221,30,0.02453062181373078,0.020395724499635944,0.03473054702038752
independentlinear60,MSR,v522_merged,421,30,0.12369156141352866,0.08738466373078929,0.27560973960625457
independentlinear60,SVARM,v522_merged,421,30,0.11513370775172763,0.09590042660094378,0.25619069384934096
independentlinear60,PermSamp,v522_merged,421,30,0.0019733999674212896,0.001351769229151119,0.003005573285560795
independentlinear60,KernelSHAP,v522_merged,421,30,0.004961455340827191,0.0027713947136084128,0.0070541547402005874
independentlinear60,kADDSHAP,v522_merged,421,30,0.0008732477547818865,0.000640047957231754,0.0011653864389111353
independentlinear60,RegressionMSR,v522_merged,421,30,0.01291345085820821,0.009789601089494566,0.014848117683833
independentlinear60,MSR,v522_merged,801,30,0.048585656701733204,0.03446491111021522,0.09004484616505383
independentlinear60,SVARM,v522_merged,801,30,0.05039000957256537,0.03930993773754542,0.06566307120190326
independentlinear60,PermSamp,v522_merged,801,30,0.0008450259712039496,0.0007003262657126435,0.0010831758926757762
independentlinear60,KernelSHAP,v522_merged,801,30,0.002011614042433013,0.0014841037721497782,0.0025452352748134306
independentlinear60,kADDSHAP,v522_merged,801,30,0.0008787758303604999,0.0006431152132326638,0.001164179608261739
independentlinear60,RegressionMSR,v522_merged,801,30,0.007053585053223382,0.0049709538472697485,0.009012422389581614
independentlinear60,OddSHAP,v522_merged,801,30,9.215826337371762e-05,6.861266718407791e-05,0.000112895116120388
independentlinear60,MSR,v522_merged,1524,30,0.022926670412000742,0.017552641617965416,0.040508034373946525
independentlinear60,SVARM,v522_merged,1524,30,0.019349846737277264,0.01540978245957619,0.02203824549903711
independentlinear60,PermSamp,v522_merged,1524,30,0.00044873765003583115,0.0003266804386569742,0.0006926790427309905
independentlinear60,KernelSHAP,v522_merged,1524,30,0.0007585396748894677,0.0006075139390952326,0.001090137548904089
independentlinear60,kADDSHAP,v522_merged,1524,30,0.0008824168324464365,0.0006218936760099829,0.0011599567610611626
independentlinear60,RegressionMSR,v522_merged,1524,30,0.0022638097836874035,0.001778813491822158,0.0028498367400977224
independentlinear60,OddSHAP,v522_merged,1524,30,2.3500334261943125e-05,1.942865795093155e-05,3.0014533120969314e-05
independentlinear60,MSR,v522_merged,2900,30,0.01278147042810001,0.009775223907303326,0.024330029784179107
independentlinear60,SVARM,v522_merged,2900,30,0.007034518903907906,0.00591448029318892,0.00892136167087458
independentlinear60,PermSamp,v522_merged,2900,30,0.0002381073838141983,0.00013093357262262276,0.0003571949303941565
independentlinear60,KernelSHAP,v522_merged,2900,30,0.00041491531263226444,0.00029796552117148154,0.000591667101805826
independentlinear60,kADDSHAP,v522_merged,2900,30,0.0002227151454440932,0.0001634383609313718,0.0002925109542526299
independentlinear60,RegressionMSR,v522_merged,2900,30,0.000574072861804306,0.0005029676805180646,0.0006624748339416984
independentlinear60,OddSHAP,v522_merged,2900,30,7.975193767107595e-06,6.712401324156371e-06,9.402282771723865e-06
independentlinear60,MSR,v522_merged,5521,30,0.0061206904920464746,0.004692280788018952,0.011179199555333351
independentlinear60,SVARM,v522_merged,5521,30,0.0035983609517188314,0.003158635888552352,0.004556108942580819
